num,slug,sk,code,name,time_val,unit,skill,abnormal,grossWeight,wgt,spawn,cycle_val,standard,material,raw,raw_mfr,one_box,pallet,tape,box,bag,etc,keyword
11,0271,SK0271,701504 701514,野菜籠 4K 2型 蓋・野菜籠 4K 2型 蓋 PP,70,10,0.29,0,195ｇ,195 ±5,1,23.95,27,PP(BC03),PP K7130R,25,"","","","",0.03 X 1000 X 1400,"","SK0271,701504701514,野菜籠4K2型蓋野菜籠4K2型蓋PP,やさいかご4K2がたふたやさいかご4K2がたふたPP,ヤサイカゴ4K2ガタフタヤサイカゴ4K2ガタフタPP,yasaikago4K2gatafutayasaikago4K2gatafutaPP,yasaikago4K2gatafutayasaikago4K2gatafutaPP,yasaikago4K2gatafutayasaikago4K2gatafutaPP"
12,0272,SK0272,101506 101516,野菜籠 4K 2型 本体・野菜籠 4K 2型 本体 PP,90,10,0.33,0,330ｇ,330 ±10,1,26.97,29,PP(BC03),PP K7130R,25,"","","","",0.03 X 1000 X 1400,"","SK0272,101506101516,野菜籠4K2型本体野菜籠4K2型本体PP,やさいかご4K2がたほんたいやさいかご4K2がたほんたいPP,ヤサイカゴ4K2ガタホンタイヤサイカゴ4K2ガタホンタイPP,yasaikago4K2gatahontaiyasaikago4K2gatahontaiPP,yasaikago4K2gatahontaiyasaikago4K2gatahontaiPP,yasaikago4K2gatahontaiyasaikago4K2gatahontaiPP"
13,0413,SK0413,200203,わじま,92,5,0.19,0,774ｇ,750 ±20,1,94.67,100,ABS,ABS A-2000,1.4,10,"",ｸﾗﾌﾄIH,(新)朱塗小ばんじゅう・輪島,0.03 X 420 X 500,"乾燥機使用
ゲート側に治具を乗せる","SK0413,200203,わじま,わじま,ワジマ,wajima,wazima,wajima"
14,0435,SK0435,701505,野菜籠 4K 3型 蓋,70,10,0.32,0,137ｇ,137 ±5,1,21.8,17.4,PP(BC03),BC03BSW,30,25,"","","",0.03 X 850 X 900,"裏向き、袋結ぶ
結束紐","SK0435,701505,野菜籠4K3型蓋,やさいかご4K3がたふた,ヤサイカゴ4K3ガタフタ,yasaikago4K3gatafuta,yasaikago4K3gatafuta,yasaikago4K3gatafuta"
15,0436,SK0436,800100,ハンディボックス用 取手,31,10,0.33,0,30ｇ,9 ±2,2,18.75,20.3,PP,BJHH-G,8,"","","","","",ｻﾝｸﾚｯﾄ#80,"SK0436,800100,ハンディボックス用取手,はんでぃぼっくすようとって,ハンディボックスヨウトッテ,handibokkusuyoutotte,handibokkusuyoutotte,handeibokkusuyoutotte"
16,0439,SK0439,701100,サンコータル 20L 蓋,54,10,0.15,0,250ｇ,250 ±10,1,35.5,30.8,PP,PP J704UG,5,"","","",ｻﾝｺｰﾀﾙ 20L ﾌﾀ,"","","SK0439,701100,サンコータル20L蓋,さんこーたる20Lふた,サンコータル20Lフタ,sankootaru20Lfuta,sankootaru20Lfuta,sankootaru20Lfuta"
17,0442,SK0442,20080X,ハンディボックス,84,4,0.61,0,401ｇ,400 ±20,1,34.2,26,PP,BJHH-G,8,24,192,ｸﾗﾌﾄHH,ﾊﾝﾃﾞｲﾎﾞﾂｸｽ　Iｶﾞﾀ　24個入,"",ハンディボックス用 取手(800100)を取り付ける,"SK0442,20080X,ハンディボックス,はんでぃぼっくす,ハンディボックス,handibokkusu,handibokkusu,handeibokkusu"
18,0463,SK0463,400900,エッグトレー(8),76,20,0.22,0,152ｇ,150 ±2,1,"",17,PE,HZ1600J / HZ1608J,18 / 18,"","","","","","","SK0463,400900,エッグトレー(8),えっぐとれー(8),エッグトレー(8),eggutoree(8),eggutoree(8),eggutoree(8)"
19,0540,SK0540,200101,サンボックス 04,35,8,0.1,0,102ｇ,102 ±3,1,42.9,43,ABS,ABS 930-355,-,"","","","","",ｻﾝｸﾚｯﾄ#80,"SK0540,200101,サンボックス04,さんぼっくす04,サンボックス04,sanbokkusu04,sanbokkusu04,sanbokkusu04"
20,0540,SK0540,200102,サンボックス 04-1,未登録,未登録,未登録,未登録,110ｇ,110 ±3,1,42.93,43,ABS,ABS 930-355,-,"","","","","","入子　突起有り
ｻﾝｸﾚｯﾄ#80","SK0540,200102,サンボックス041,さんぼっくす041,サンボックス041,sanbokkusu041,sanbokkusu041,sanbokkusu041,未登録"
21,0571,SK0571,200306,サンボックス#3S,41.21,4,0.37,0,205ｇ,205 ±5,1,28.2,26,PP,PP J704UG,5,"","","","","","","SK0571,200306,サンボックス#3S,さんぼっくすしゃーぷ3S,サンボックスシャープ3S,sanbokkusushaapu3S,sanbokkususyaapu3S,sanbokkusushaapu3S"
22,0572,SK0572,200235,サンボックス#2S,25,5,0.19,0,135ｇ,135 ±5,1,26.2,20.9,PP,PP J704UG,5,"","","","","","","SK0572,200235,サンボックス#2S,さんぼっくすしゃーぷ2S,サンボックスシャープ2S,sanbokkusushaapu2S,sanbokkususyaapu2S,sanbokkusushaapu2S"
23,0610,SK0610,800306,カード差し 16型,未登録,未登録,未登録,未登録,32.5ｇ,32.5 ±1.6,1,19.5,20,PP,PP J224U,5,"","","","","","","SK0610,800306,カード差し16型,かーどさし16がた,カードサシ16ガタ,kaadosashi16gata,kaadosasi16gata,kaadosashi16gata,未登録"
24,0688,SK0688,800002,サンパックカート(ジョイント),未登録,未登録,未登録,未登録,49.3ｇ,48 ±2(2ヶ),2,"",48,PP,PP J704U,5,"","","","",0.03 X 850 X 900,"","SK0688,800002,サンパックカート(ジョイント),さんぱっくかーと(じょいんと),サンパックカート(ジョイント),sanpakkukaato(jointo),sanpakkukaato(jointo),sampakkukaato(jointo),未登録"
25,0689,SK0689,800003,サンパックカート(キャスタパイプ),未登録,未登録,未登録,未登録,22.5ｇ,18 ±3,1,"",38.5,PP,PP J704UG,5,"","","","",0.03 X 850 X 900,"","SK0689,800003,サンパックカート(キャスタパイプ),さんぱっくかーと(きゃすたぱいぷ),サンパックカート(キャスタパイプ),sanpakkukaato(kyasutapaipu),sanpakkukaato(kyasutapaipu),sampakkukaato(kyasutapaipu),未登録"
26,0716,SK0716,800311,カード差し 21型,未登録,未登録,未登録,未登録,6ｇ,6 ±0.25,1,12.5,12.8,PP,PP J224U,5,600,"","","","",ｻﾝｸﾚｯﾄ#80,"SK0716,800311,カード差し21型,かーどさし21がた,カードサシ21ガタ,kaadosashi21gata,kaadosasi21gata,kaadosashi21gata,未登録"
27,0721,SK0721,200301,サンバット 3号,未登録,未登録,未登録,未登録,168ｇ,168 ±5,1,41.5,25.7,PP,PP K7130R,25,1200,"","",ｻﾝﾊﾞｯﾄNO.3,"",BL502は白の色相はok.青の色相はng.ゲートからのハナタレ多かった,"SK0721,200301,サンバット3号,さんばっと3ごう,サンバット3ゴウ,sanbatto3gou,sanbatto3gou,sambatto3gou,未登録"
28,0869,SK0869,800320,カード差し 27型,34,20,0.1,0,24ｇ,24 ±0.6,1,17.66,17.8,PP,PP J858Y,20,200,"","","","",ｻﾝｸﾚｯﾄ#80,"SK0869,800320,カード差し27型,かーどさし27がた,カードサシ27ガタ,kaadosashi27gata,kaadosasi27gata,kaadosashi27gata"
29,0910,SK0910,800014,ハウス杭 30,17,4,0.31,0,153.7ｇ,33 ±3,4,"",54.9,ABS,ABS 粉砕,-,"","","","","",ｻﾝｸﾚｯﾄ#80,"SK0910,800014,ハウス杭30,はうすくい30,ハウスクイ30,hausukui30,hausukui30,hausukui30"
30,0936,SK0936,401100,サンコータル 11L,54,6,0.23,3,515ｇ,515 ±10,1,38.5,35.1,PP,PP J705Q,10,10,560,"","",0.05 X 530 X 1200,"チョコ停後は保圧を下げてから立ち上げる
1111-11黒パレット(専用)+1111パレット2段","SK0936,401100,サンコータル11L,さんこーたる11L,サンコータル11L,sankootaru11L,sankootaru11L,sankootaru11L"
31,0940,SK0940,200207,ハンガーラックコンテナー HL-2,79,10,0.23,0,235ｇ,235 ±6,1,34,38,PP,PP J704U,5,"","","","","","","SK0940,200207,ハンガーラックコンテナーHL2,はんがーらっくこんてなーHL2,ハンガーラックコンテナーHL2,hangaarakkukontenaaHL2,hangaarakkukontenaaHL2,hangaarakkukontenaaHL2"
32,0941,SK0941,200104,ハンガーラックコンテナー HL-1,79,10,0.27,0,120ｇ,120 ±5,1,29.2,29.9,PP,PP J704UG,5,40,960,OPP透明II,ハンガーラック HL-1,"",背面を上,"SK0941,200104,ハンガーラックコンテナーHL1,はんがーらっくこんてなーHL1,ハンガーラックコンテナーHL1,hangaarakkukontenaaHL1,hangaarakkukontenaaHL1,hangaarakkukontenaaHL1"
33,1010,SK1010,800323,カード差し 28型,25,20,0.1,0,5.5ｇ,5.5 ±0.5,1,12.2,10.5,PP,PP J858Y,20,1700,"","","","",ｻﾝｸﾚｯﾄ#80,"SK1010,800323,カード差し28型,かーどさし28がた,カードサシ28ガタ,kaadosashi28gata,kaadosasi28gata,kaadosashi28gata"
34,1013,SK1013,800035,サンマーカー N 本体,18,10,0.1,0,39ｇ,39 ±2,1,"",18.6,ABS,ABS GA501,33,"","","","","","","SK1013,800035,サンマーカーN本体,さんまーかーNほんたい,サンマーカーNホンタイ,sanmaakaaNhontai,sanmaakaaNhontai,sammaakaaNhontai"
35,1014,SK1014,800037 800036,サンマーカー N用スライド 背面・サンマーカー N用スライド 本体,18,20,0.05,0,3.4ｇ,9.3 ±1(本体10ヶ)/7.5 ±1(背板10ヶ),1,17.5,9.1,ABS,ABS GA501,33,"","","","",0.03 X 350 X 500,"","SK1014,800037800036,サンマーカーN用スライド背面サンマーカーN用スライド本体,さんまーかーNようすらいどはいめんさんまーかーNようすらいどほんたい,サンマーカーNヨウスライドハイメンサンマーカーNヨウスライドホンタイ,sanmaakaaNyousuraidohaimensanmaakaaNyousuraidohontai,sanmaakaaNyousuraidohaimensanmaakaaNyousuraidohontai,sammaakaaNyousuraidohaimensammaakaaNyousuraidohontai"
36,1034,SK1034,400503,M樽5K平,150,15,0.43,30,240ｇ,240 ±10,1,23.22,20.5,PE,HZ-1300J,13,20,640,"","",0.03 X 520 X 1000,20個を2段、16本。2段目は袋の口を結ぶ。結びにくい,"SK1034,400503,M樽5K平,Mたる5Kたいら,Mタル5Kタイラ,Mtaru5Ktaira,Mtaru5Ktaira,Mtaru5Ktaira"
37,1035,SK1035,700505,M樽5K平　蓋,70,10,0.18,20,65ｇ,65 ±2,1,38.4,26.5,PE,PE 1608J,18,100,"",ｸﾗﾌﾄHH,Ｍﾀﾙ　5Ｋ平ﾌﾀ,"",25個を4本。箱の印字が際どいやつ。クラフトテープで丁寧に作るように,"SK1035,700505,M樽5K平蓋,Mたる5Kたいらふた,Mタル5Kタイラフタ,Mtaru5Ktairafuta,Mtaru5Ktairafuta,Mtaru5Ktairafuta"
38,1050,SK1050,100801,筍籠S型 本体,50,15,0.2,0,112ｇ,112 ±3,1,16.65,16.7,PE,PE M75 / PE 1300J,50 / 13,30,1800,"","","",1束30個,"SK1050,100801,筍籠S型本体,たけのこかごSがたほんたい,タケノコカゴSガタホンタイ,takenokokagoSgatahontai,takenokokagoSgatahontai,takenokokagoSgatahontai"
39,1051,SK1051,701704,筍籠S型 蓋,50,15,0.23,0,37ｇ,37 ±1,1,14.47,15,PE,HZ1608J / IC-41 / ﾆﾎﾟﾛﾝ 0407,18,100,"",ｸﾗﾌﾄ,"",原料紙袋,"25枚を結束紐で結ぶ
1111パレット / 紙袋で梱包","SK1051,701704,筍籠S型蓋,たけのこかごSがたふた,タケノコカゴSガタフタ,takenokokagoSgatafuta,takenokokagoSgatafuta,takenokokagoSgatafuta"
40,1061,ZZ1061,8A0033 8A0034,コーナー枠L・コーナー枠R,15,5,0.08,0,125ｇ,56.5 ±0.8(L)/56.5 ±0.8(R),1,36.3,36.3,PP,PP J705UG,9,110,"",ｸﾗﾌﾄHH,ﾀﾞﾝﾎﾞｰﾙ ｶｰﾄﾞｻｼ151ｶﾞﾀ (各110個入),"","","ZZ1061,8A00338A0034,コーナー枠Lコーナー枠R,こーなーわくLこーなーわくR,コーナーワクLコーナーワクR,koonaawakuLkoonaawakuR,koonaawakuLkoonaawakuR,koonaawakuLkoonaawakuR"
41,1066,SK1066,800325,カード差し 30型,34,20,0.09,0,25ｇ,25 ±2,1,19.7,17.9,PP,PP J224U,5,200,3200,"","","",ｻﾝｸﾚｯﾄ#80,"SK1066,800325,カード差し30型,かーどさし30がた,カードサシ30ガタ,kaadosashi30gata,kaadosasi30gata,kaadosashi30gata"
42,1102,ZZ1102,806198,小動物出荷籠 中仕切り,98,10,0.31,5,74ｇ,64 ±3,1,31.2,29.1,再生PS,再生HIPS,5～,200,"",ｸﾗﾌﾄHH,"ｻﾝｹｰｽ C-180,200 ﾌﾀ","",仮保管：ｻﾝﾎﾞｯｸｽ56A-2(250個),"ZZ1102,806198,小動物出荷籠中仕切り,しょうどうぶつしゅっかかごなかしきり,ショウドウブツシュッカカゴナカシキリ,shoudoubutsushukkakagonakashikiri,syoudoubutusyukkakagonakasikiri,shoudoubutsushukkakagonakashikiri"
43,1139,ZZ1139,8B0027,サンケースMK T-10N 本体,未登録,未登録,未登録,未登録,22.8ｇ,11.4 ±0.2,2,14,13.1,PS,GPPS G200C,9,800,"","","","",25個*8列*4段,"ZZ1139,8B0027,サンケースMKT10N本体,さんけーすMKT10Nほんたい,サンケースMKT10Nホンタイ,sankeesuMKT10Nhontai,sankeesuMKT10Nhontai,sankeesuMKT10Nhontai,未登録"
44,1140,ZZ1140,8B0061,サンケースMK T-12 蓋,66,20,0.39,0,12.6ｇ,6.3 ±0.2,2,17,16.9,PE,PE ﾍﾟﾄﾛｾﾝ248,58,1470,"","","","","70個*7列*3段
ｻﾝﾎﾞｯｸｽ56A-2","ZZ1140,8B0061,サンケースMKT12蓋,さんけーすMKT12ふた,サンケースMKT12フタ,sankeesuMKT12futa,sankeesuMKT12futa,sankeesuMKT12futa"
45,1140,SK1140,400407,サンペールS #4 本体,80,6,0.42,18,192ｇ,192 +8 -0,1,31.53,26.5,PP,PP J704U,5,30,"",OPP透明II,ｻﾝﾍﾟｰﾙ S#4ﾎﾝﾀｲ #4Bﾎﾝﾀｲ,0.02 X 1600 X 1600,ゲート下向き,"SK1140,400407,サンペールS#4本体,さんぺーるSしゃーぷ4ほんたい,サンペールSシャープ4ホンタイ,sanpeeruSshaapu4hontai,sanpeeruSsyaapu4hontai,sampeeruSshaapu4hontai"
46,1141,ZZ1141,8B0062,サンケースMK T-12 本体,未登録,未登録,未登録,未登録,27.6ｇ,13.7 ±0.2,2,13.6,13.6,PS,GPPS G200C,9,"","","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1141,8B0062,サンケースMKT12本体,さんけーすMKT12ほんたい,サンケースMKT12ホンタイ,sankeesuMKT12hontai,sankeesuMKT12hontai,sankeesuMKT12hontai,未登録"
47,1141,SK1141,700209,サンペールS #4 蓋,43,10,0.26,0,38.3ｇ,38.3 ±0.4,1,16.3,13.7,PP,PP J704U,5,120,"",OPP透明HH,ｻﾝﾍﾟｰﾙ S#4 ﾌﾀ,0.03 X 850 X 900,ゲート上、袋口は中央へ,"SK1141,700209,サンペールS#4蓋,さんぺーるSしゃーぷ4ふた,サンペールSシャープ4フタ,sanpeeruSshaapu4futa,sanpeeruSsyaapu4futa,sampeeruSshaapu4futa"
48,1142,ZZ1142,8B0079,サンケースMK T-14 蓋,75,15,0.39,0,22.4ｇ,11.2 ±0.2,2,25.8,"",PE,"","",750,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1142,8B0079,サンケースMKT14蓋,さんけーすMKT14ふた,サンケースMKT14フタ,sankeesuMKT14futa,sankeesuMKT14futa,sankeesuMKT14futa"
49,1142,SK1142,800049,サンペールS #4 ハンドル,10,10,0.18,0,15.6ｇ,7.8 ±0.3,2,10.85,9.9,PE,PE 1300J,13,2000,"","","",0.03 X 1300 X 1100,ｻﾝﾎﾞｯｸｽ56A-2,"SK1142,800049,サンペールS#4ハンドル,さんぺーるSしゃーぷ4はんどる,サンペールSシャープ4ハンドル,sanpeeruSshaapu4handoru,sanpeeruSsyaapu4handoru,sampeeruSshaapu4handoru"
50,1143,ZZ1143,8B0080,サンケースMK T-14 本体,79,20,0.44,0,50.4ｇ,25.2 ±0.3,2,18,"",PS,"","","","","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1143,8B0080,サンケースMKT14本体,さんけーすMKT14ほんたい,サンケースMKT14ホンタイ,sankeesuMKT14hontai,sankeesuMKT14hontai,sankeesuMKT14hontai"
51,1149,SK1149,100205,イカナゴケース　4P,184,80,0.12,0,105ｇ,105 ±1.5,1,19.5,20.8,PP,PP J106G,15,"","","","",HD 0.01 X 1000 X 1400,"","SK1149,100205,イカナゴケース4P,いかなごけーす4P,イカナゴケース4P,ikanagokeesu4P,ikanagokeesu4P,ikanagokeesu4P"
52,1156,ZZ1156,8B0106,サンケースMK P-30 蓋,75,15,0.47,0,76.6ｇ,38.3 ±0.5,2,21.5,22.7,PS,GPPS G200C,9.5,"","","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1156,8B0106,サンケースMKP30蓋,さんけーすMKP30ふた,サンケースMKP30フタ,sankeesuMKP30futa,sankeesuMKP30futa,sankeesuMKP30futa"
53,1158,ZZ1158,8B0108,"サンケースMK P30-5,MT30-5 本体",75,15,0.29,0,50.5ｇ,50.5 ±0.4,1,17.2,17.4,PS,GPPS G200C,9.5,100,"","","","","","ZZ1158,8B0108,サンケースMKP305,MT305本体,さんけーすMKP305,MT305ほんたい,サンケースMKP305,MT305ホンタイ,sankeesuMKP305,MT305hontai,sankeesuMKP305,MT305hontai,sankeesuMKP305,MT305hontai"
54,1158,ZZ1158,8B0107,"サンケースMK P30,MT-30 本体",75,15,0.28,0,38.6ｇ,38.6 ±0.5,1,18.1,19.6,PS,GPPS G200C,9.5,"","","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1158,8B0107,サンケースMKP30,MT30本体,さんけーすMKP30,MT30ほんたい,サンケースMKP30,MT30ホンタイ,sankeesuMKP30,MT30hontai,sankeesuMKP30,MT30hontai,sankeesuMKP30,MT30hontai"
55,1167,ZZ1167,8B0113,サンケースMK P-1100 本体,31,10,0.14,0,102ｇ,102 ±2,1,22.6,22,PS,GPPS G200C,9,"","","","","","","ZZ1167,8B0113,サンケースMKP1100本体,さんけーすMKP1100ほんたい,サンケースMKP1100ホンタイ,sankeesuMKP1100hontai,sankeesuMKP1100hontai,sankeesuMKP1100hontai"
56,1168,ZZ1168,8B0095 8B0094,サンケースMK P-29 本体・サンケースMK P-29•蓋,71,21,0.16,0,88.8ｇ,51.2 ±0.5(本体)/37.6 ±0.5(蓋),1,21.39,22.9,PS,GPPS G200C,9,100,"","","","","本体、蓋同時に成形する製品
ｻﾝﾎﾞｯｸｽ56A-2","ZZ1168,8B00958B0094,サンケースMKP29本体サンケースMKP29蓋,さんけーすMKP29ほんたいさんけーすMKP29ふた,サンケースMKP29ホンタイサンケースMKP29フタ,sankeesuMKP29hontaisankeesuMKP29futa,sankeesuMKP29hontaisankeesuMKP29futa,sankeesuMKP29hontaisankeesuMKP29futa"
57,1169,ZZ1169,8B0188,サンケースMK P-32 本体,未登録,未登録,未登録,未登録,45ｇ,45 ±0.5,1,17.5,17.5,PS,GPPS G200C,9,"","","","","","MK P-32.34.40蓋(8B0058)と嵌合
ｻﾝﾎﾞｯｸｽ56A-2","ZZ1169,8B0188,サンケースMKP32本体,さんけーすMKP32ほんたい,サンケースMKP32ホンタイ,sankeesuMKP32hontai,sankeesuMKP32hontai,sankeesuMKP32hontai,未登録"
58,1176,ZZ1176,8B0055,サンケースMK P-41・41-4 蓋,124,25,0.46,0,55.7ｇ,23.5 ±0.3,2,21.8,21.5,PS,GPPS G200C,9,400,"","","","","","ZZ1176,8B0055,サンケースMKP41414蓋,さんけーすMKP41414ふた,サンケースMKP41414フタ,sankeesuMKP41414futa,sankeesuMKP41414futa,sankeesuMKP41414futa"
59,1177,ZZ1177,8B0054,サンケースMK P-41 本体,124,25,0.22,0,63.5ｇ,63.2 ±0.6,1,22.8,22.8,PS,GPPS G200C,9,80,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1177,8B0054,サンケースMKP41本体,さんけーすMKP41ほんたい,サンケースMKP41ホンタイ,sankeesuMKP41hontai,sankeesuMKP41hontai,sankeesuMKP41hontai"
60,1177,ZZ1177,8B0055,サンケースMK P-41-4 本体,124,25,0.21,0,73.1ｇ,72.9 ±0.7,1,23.9,28.8,PS,GPPS G200C,9,"","","","","","","ZZ1177,8B0055,サンケースMKP414本体,さんけーすMKP414ほんたい,サンケースMKP414ホンタイ,sankeesuMKP414hontai,sankeesuMKP414hontai,sankeesuMKP414hontai"
61,1178,ZZ1178,8B0091,サンケースMK P-50N・75 蓋,未登録,未登録,未登録,未登録,49ｇ,24.5 ±0.3,2,14.5,40,PS,"","",480,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1178,8B0091,サンケースMKP50N75蓋,さんけーすMKP50N75ふた,サンケースMKP50N75フタ,sankeesuMKP50N75futa,sankeesuMKP50N75futa,sankeesuMKP50N75futa,未登録"
62,1179,ZZ1179,8B0099,サンケースMK P-50N 本体,未登録,未登録,未登録,未登録,46ｇ,46 ±0.5,1,19.2,"",PS,"","","","","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1179,8B0099,サンケースMKP50N本体,さんけーすMKP50Nほんたい,サンケースMKP50Nホンタイ,sankeesuMKP50Nhontai,sankeesuMKP50Nhontai,sankeesuMKP50Nhontai,未登録"
63,1191,SK1191,200300,朱塗小ばんじゅう 2号型,84,4,0.33,36,565ｇ,565 ±20,1,64.5,50,ABS,ABS 再生 / A-2000S,-,30,240,ｸﾗﾌﾄIH,(新)朱塗小ばんじゅう・輪島,0.03 X 420 X 500,"乾燥機使用
ゲート側に治具を乗せる","SK1191,200300,朱塗小ばんじゅう2号型,しゅぬりしょうばんじゅう2ごうがた,シュヌリショウバンジュウ2ゴウガタ,shunurishoubanjuu2gougata,syunurisyoubanjuu2gougata,shunurishoubanjuu2gougata"
64,1194,ZZ1194,8B0030,"サンケースMK CY50•P500,1100 蓋",75,15,0.33,0,60.5ｇ,60.5 ±0.5,1,15.2,15.8,PS,GPPS G200C,9,140,"","","","",ツイスト対策の為、本体と組み付けて保管(56Aに48個),"ZZ1194,8B0030,サンケースMKCY50P500,1100蓋,さんけーすMKCY50P500,1100ふた,サンケースMKCY50P500,1100フタ,sankeesuMKCY50P500,1100futa,sankeesuMKCY50P500,1100futa,sankeesuMKCY50P500,1100futa"
65,1195,ZZ1195,8B0031,サンケースMK CY-50 本体,75,15,0.25,0,84.5ｇ,84.5 ±1,1,19.7,19.7,PS,GPPS G200C,9,48,"","","","",ｻﾝﾎﾞｯｸｽ56A-2 (12個X4列),"ZZ1195,8B0031,サンケースMKCY50本体,さんけーすMKCY50ほんたい,サンケースMKCY50ホンタイ,sankeesuMKCY50hontai,sankeesuMKCY50hontai,sankeesuMKCY50hontai"
66,1196,ZZ1196,8B0154,サンケースMK KR-300 蓋,未登録,未登録,未登録,未登録,42.7ｇ,42.7 ±0.7,1,14.8,14.7,PS,GPPS G200C,9,"","","","","","","ZZ1196,8B0154,サンケースMKKR300蓋,さんけーすMKKR300ふた,サンケースMKKR300フタ,sankeesuMKKR300futa,sankeesuMKKR300futa,sankeesuMKKR300futa,未登録"
